,created,text,location,hashtags,location#
12,2019-10-29 04:36:00,"At 7:00 AM MDT, 4 SSE Kirtland [San Juan Co, NM] CO-OP OBSERVER reports SNOW of 1.30 INCH https://t.co/hNYIcQYyND","{'type': 'Point', 'coordinates': [36.69, -108.31]}",[],6
13,2019-10-29 03:03:13,EVERYDAY 7:40 TANGINAAAAAHHHHHHHHHHHHHHHHH!!!!!!,,[],6
14,2019-10-29 01:40:40,stay safe everyone 🙏🏻🙏🏻,,[],6
15,2019-10-28 21:58:52,"Want to work at Allied Universal? We’re hiring in Waterflow, NM! Click for more information:… https://t.co/6sNGPVl0DN","{'type': 'Point', 'coordinates': [36.760157, -108.4942722]}",[],6
16,2019-10-28 15:39:42,"At 7:00 AM MDT, 4 SSE Kirtland [San Juan Co, NM] CO-OP OBSERVER reports SNOW of 1.30 INCH https://t.co/hNYIcQYyND","{'type': 'Point', 'coordinates': [36.69, -108.31]}",[],6
17,2019-10-28 10:10:51,gonna edit tom hehe goodnight,,[],6
18,2019-10-28 08:51:07,@pascualtheaaa_ discipline.. hapit na mktg wars HAHAHA go Theeey,,[],6
0,2019-10-29 13:29:43,“Hey Big Boy...how’s things here in the Everglades on this fine morning?” 👀 #floridaeverglades @ Florida Everglades https://t.co/OlQUomlEGm,"{'type': 'Point', 'coordinates': [26.437885, -80.61795646]}",[Hashtag(Text='floridaeverglades')],7
1,2019-10-25 14:18:51,On my way Fam... https://t.co/ACmH5dJnpa,,[],7
2,2019-10-24 20:19:53,I'm at 27-south https://t.co/5qIk1rfNV7,"{'type': 'Point', 'coordinates': [26.50789861, -80.67200026]}",[],7
3,2019-10-24 20:19:42,"I'm at Florida Everglades in Glades, FL https://t.co/0NfKflRmnV","{'type': 'Point', 'coordinates': [26.437885, -80.61795646]}",[],7
0,2019-10-31 01:53:58,#AEWDynamite 🧨 lets go #SCU!!!! @AEWonTNT,,"[Hashtag(Text='AEWDynamite'), Hashtag(Text='SCU')]",8
1,2019-10-31 18:25:45,Anybody have a soccer ball,,[],8
2,2019-10-31 18:25:39,Mood this whole weekend https://t.co/ehP1iN3b5D,,[],8
3,2019-10-31 18:25:11,shoutout @ResellAIO for the resell day event. hope i can win some nice free stuff 📈 #ResellDay,,[Hashtag(Text='ResellDay')],8
4,2019-10-31 18:24:42,"@olivia0245 Jr. is the definition of a fool. He's a sad human being, totally dependent on an evil despot and unable to think for himself.",,[],8
5,2019-10-31 18:15:24,when i tell u he's the loml 🥵 https://t.co/TZi0m4JhUU,,[],8
6,2019-10-31 18:08:10,"@bat__flower quote of the day:

""My poop smells like whiskey.""",,[],8
7,2019-10-31 18:05:51,"Happy Halloween! Come try our newest #CocktailoftheWeek, Lovecraft’s Lament with Gosling’s Black Rum, Siesta Key Co… https://t.co/FX8w1jlKDu",,[Hashtag(Text='CocktailoftheWeek')],8
8,2019-10-31 18:02:46,"Can you recommend anyone for this #EventsMarketing job in #Cocoa, FL? Click the link in our bio to see it and more.… https://t.co/sOGtNYENWP","{'type': 'Point', 'coordinates': [28.3861159, -80.7419984]}","[Hashtag(Text='EventsMarketing'), Hashtag(Text='Cocoa')]",8
9,2019-10-31 17:44:03,@King_Rnh Video of you throwing up in a bag loading...,,[],8
10,2019-10-31 17:43:51,@democracynow I want 2 thank every1 at Democracy Now 4 the especially excellent show 2day. TY for being 1 of the fe… https://t.co/qt6EryHIYB,,[],8
11,2019-10-31 17:43:43,@amarikpj Lmao He gone be throwing up in a bag later today,,[],8
12,2019-10-31 17:38:49,how i go from making 9.25 to making 8.46?? ive been played,,[],8
13,2019-10-31 17:38:07,@democracynow specially excellent show today,,[],8
14,2019-10-31 17:33:37,retail therapy is so real like why do i get a serotonin boost off draining my wallet,,[],8
15,2019-10-31 17:33:32,Tonight is my final adventure to HHN for 2019. What a confusing feeling. https://t.co/n7MjLgxtM2,,[],8
16,2019-10-31 17:33:17,@netip0t cawk deestroya,,[],8
17,2019-10-31 17:32:49,@CashApp #cashapphalloween I need a creative costume for me and my dog. I’m thinking Starsky and Hutch. @pyronate1  $rastaboss,,[Hashtag(Text='cashapphalloween')],8
18,2019-10-31 17:32:22,yeah i have no money. yeah i went shopping anyways.,,[],8
19,2019-10-31 17:27:13,This why he’s my favorite player cause I have that same mentality https://t.co/FXRoetIhzd,,[],8
20,2019-10-31 17:26:47,I love this! https://t.co/HOmtq4a3td,,[],8
21,2019-10-31 17:19:51,no ITS NOT me!! can yall PPEASE report the account @onacasella23 PLS https://t.co/ZiFBqsvZNp,,[],8
22,2019-10-31 17:07:43,"Cheshire Grin 🐱😁 Get ready 😘

#AmberNorell #halloween #halloweencostume #halloweencostume @ Orlando Forida https://t.co/F5FtG6TEHa","{'type': 'Point', 'coordinates': [28.54686, -81.20981]}","[Hashtag(Text='AmberNorell'), Hashtag(Text='halloween'), Hashtag(Text='halloweencostume'), Hashtag(Text='halloweencostume')]",8
23,2019-10-31 16:56:48,@DaddyJonah Love FL weather!! ☀️,,[],8
24,2019-10-31 16:50:37,Whhhhaaat thats awesome! https://t.co/DLBYd6fmXb,,[],8
25,2019-10-31 16:46:49,Happy spoops day 🎃,,[],8
26,2019-10-31 16:46:15,@HerbArndt We're seeing a whole political party selling their very souls and morality to protect a monster like Tru… https://t.co/0viUVzEvhf,,[],8
27,2019-10-31 16:45:48,Little things matter. A fan of the Panther spots podcast sent me a care they didn't send any bud but they did get m… https://t.co/1LF9iLAcxX,"{'type': 'Point', 'coordinates': [28.5538418, -81.1674444]}",[],8
28,2019-10-31 16:41:30,@westcoasthubb my partner @jimmymackin speaks highly of you. I just sent you a message on LinkedIn and would love to connect.,,[],8
29,2019-10-31 16:40:32,they really did that https://t.co/zPdqjrXQ9F,,[],8
30,2019-10-31 16:27:09,It literally feels like yesterday that this song would come on radio and both my parents would sit there screaming… https://t.co/tfkFsgeAPn,,[],8
31,2019-10-31 16:27:04,@outisnbdy Aiiiiiight g,,[],8
32,2019-10-31 16:27:03,"@SalemArtStudio It's ok, tomorrow is the first day of Halloween 2020!",,[],8
33,2019-10-31 16:24:36,@GeorgeTakei I REALLY want you to do it. Please. 🤣,,[],8
34,2019-10-31 16:21:17,This nigga Claude FaceTimed this morning taking shots of don Julio 🤦🏾‍♂️ his mind..,,[],8
35,2019-10-31 16:12:38,@Anon16546811 @wpbal1 @AlexNBCNews Tulsi is a represenative and I'm pretty sure she voted yes because she's not one of the two listed.,,[],8
36,2019-10-31 16:07:25,"#HappyHalloween from #HalloweenHorrorNights @UniversalORL #Orlando #Florida

#HappyHalloween2019 @ Halloween Horror… https://t.co/p8mYBqQ9CG",,"[Hashtag(Text='HappyHalloween'), Hashtag(Text='HalloweenHorrorNights'), Hashtag(Text='Orlando'), Hashtag(Text='Florida'), Hashtag(Text='HappyHalloween2019')]",8
37,2019-10-31 15:56:44,Happy Halloween!!,,[],8
38,2019-10-31 15:50:37,"La temperatura de lo mas nice and what do i find? 😄#horses #beauty @ East Orlando Estates, Orlando, Florida https://t.co/ul41KTxQ7N","{'type': 'Point', 'coordinates': [28.57351844, -81.10430489]}","[Hashtag(Text='horses'), Hashtag(Text='beauty')]",8
0,2019-10-28 23:47:40,"Don't be shy. Score a job like ""ASST STORE MGR in LA GRANGE, CA"" at Dollar General Corporation by asking for referr… https://t.co/Jo4yyktKDA","{'type': 'Point', 'coordinates': [37.683729, -120.329851]}",[],12
1,2019-10-28 14:23:22,Just posted a video @ Lake Don Pedro https://t.co/yyogXem1xr,"{'type': 'Point', 'coordinates': [37.71367263, -120.34860386]}",[],12
2,2019-10-26 21:52:50,Have you ever been gold mining ⛏ ? Well...lamanumangia and I got to shoot and experience the “gold rush” 2019 style… https://t.co/8X3ke3muhj,"{'type': 'Point', 'coordinates': [37.7106, -120.197]}",[],12
3,2019-10-26 19:56:21,"Now listed!
https://t.co/9557sfi0El @ Lake Don Pedro https://t.co/ub7OL8rWZu","{'type': 'Point', 'coordinates': [37.71367263, -120.34860386]}",[],12
0,2019-10-26 23:48:07,Firefighters lighting back-burns to try to head off #KincadeFire before winds kick up tonight. Fingers-crossed! https://t.co/25MbSRxfU2,,[Hashtag(Text='KincadeFire')],13
1,2019-10-24 12:22:03,We’re evacuating a few more homes north of Pine Flat Road. #KincadeFire https://t.co/XBf6n4mIHG,,[Hashtag(Text='KincadeFire')],13
2,2019-10-25 20:54:15,10/25 at 1:50 PM. The plume on the peak on the left just got bigger. No new evacs. #KincadeFire https://t.co/MzzoyqokFp,,[Hashtag(Text='KincadeFire')],13
3,2019-10-31 16:58:14,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/nMjnrZfybk","{'type': 'Point', 'coordinates': [38.67195117, -122.77646337]}",[Hashtag(Text='KincadeFire')],13
4,2019-10-31 16:21:04,The firefighters did an incredible job of keeping the Kincade Fire losses to a minimum. It is still heartbreaking t… https://t.co/IMqS1oCyN1,,[],13
5,2019-10-31 16:21:04,Our chef needs a few days to focus on helping feed firefighters before he turns attention on restocking the kitchen… https://t.co/azetZPY70A,,[],13
6,2019-10-31 16:21:03,"It will, however, take a few more days before we can host private tasting experiences and overnight stays for our J… https://t.co/EBClxJa5nc",,[],13
7,2019-10-31 15:54:47,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/sbUlEGWltx","{'type': 'Point', 'coordinates': [38.67170095, -122.77489293]}",[Hashtag(Text='KincadeFire')],13
8,2019-10-31 14:18:07,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/DQ9Vx2Fkcc","{'type': 'Point', 'coordinates': [38.67170095, -122.77489293]}",[Hashtag(Text='KincadeFire')],13
9,2019-10-31 13:12:06,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/nJtmqeXtch","{'type': 'Point', 'coordinates': [38.67170095, -122.77489293]}",[Hashtag(Text='KincadeFire')],13
10,2019-10-31 01:12:48,"#KincadeFire 🔥 unofficial, automated update.
At Geyserville, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSES - See officials… https://t.co/DSSNeVQu1n","{'type': 'Point', 'coordinates': [38.67170095, -122.77489293]}",[Hashtag(Text='KincadeFire')],13
11,2019-10-30 22:27:07,Kept a close watch on the Kincade Fire before sunset! @ Villa Ca' Toga https://t.co/YlqBe7zNBW,"{'type': 'Point', 'coordinates': [38.5928917, -122.5990982]}",[],13
12,2019-10-30 21:08:48,Our winemaker made it back in. The 2019 wines didn’t seem to mind a few days alone. Tanks still taste great.… https://t.co/WWh9kl6UwO,,[],13
