,created,text,location,hashtags,locationcoor
1,2019-11-04 03:01:56,"#RanchFire 🔥 unofficial, automated update.
~10mi WNW of Rancho Tehama Reserve, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSE… https://t.co/f5293H1yaD","{'type': 'Point', 'coordinates': [40.03511, -122.6376]}",[Hashtag(Text='RanchFire')],"40.072,-122.649,10mi"
2,2019-11-04 02:25:20,"#RanchFire 🔥 unofficial, automated update.
~10mi WNW of Rancho Tehama Reserve, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSE… https://t.co/ZHCt0fPdcW","{'type': 'Point', 'coordinates': [40.03511, -122.6376]}",[Hashtag(Text='RanchFire')],"40.072,-122.649,10mi"
3,2019-11-04 00:06:16,"#RanchFire 🔥 unofficial, automated update.
~10mi WNW of Rancho Tehama Reserve, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSE… https://t.co/vE3qBKv0Yb","{'type': 'Point', 'coordinates': [40.03511, -122.6376]}",[Hashtag(Text='RanchFire')],"40.072,-122.649,10mi"
4,2019-11-03 22:42:38,"#RanchFire 🔥 unofficial, automated update.
~10mi WNW of Rancho Tehama Reserve, CA. ⚠️ DO NOT USE FOR SAFETY PURPOSE… https://t.co/wFuc816R3p","{'type': 'Point', 'coordinates': [40.03511, -122.6376]}",[Hashtag(Text='RanchFire')],"40.072,-122.649,10mi"
5,2019-10-31 14:43:19,"#SouthFire 🔥 unofficial, automated update.
@ShastaTrinityNF; ~18mi NW of Paskenta, CA. ⚠️ DO NOT USE FOR SAFETY PUR… https://t.co/QmvL0avGbX","{'type': 'Point', 'coordinates': [40.11807137, -122.82270978]}",[Hashtag(Text='SouthFire')],"40.072,-122.649,10mi"
0,2019-11-04 01:25:47,"Taking these two white oak slabs to Grants Pass first thing in the morning.  Customer wants one but whenever I can,… https://t.co/TzwPqawYIJ","{'type': 'Point', 'coordinates': [43.272456, -123.06781769]}",[],"43.327,-122.917,10mi"
1,2019-11-03 23:41:03,"Don't submit then quit. Apply for jobs like ""LEAD SALES ASSOCIATE-FT in GLIDE, OR"" at Dollar General Corporation, t… https://t.co/DZK9ay7Ipv","{'type': 'Point', 'coordinates': [43.303721, -123.086769]}",[],"43.327,-122.917,10mi"
2,2019-11-02 19:59:29,How can you not love Hereford cross on a sunny fall morning? https://t.co/RWYd1JoaGn,,[],"43.327,-122.917,10mi"
3,2019-11-02 18:14:24,oregonwoodslabyrinth Here is the tree I was telling you about.  Probably been down 10 years but propped up on some… https://t.co/CnKoYb3JcO,"{'type': 'Point', 'coordinates': [43.272456, -123.06781769]}",[],"43.327,-122.917,10mi"
4,2019-11-02 02:45:34,"Regular winter feeding has commenced.

#farm #ranch #pnwranch #feeding #farmandcountry #aginstagram… https://t.co/DJc3pKOoiN","{'type': 'Point', 'coordinates': [43.3191, -123.067]}","[Hashtag(Text='farm'), Hashtag(Text='ranch'), Hashtag(Text='pnwranch'), Hashtag(Text='feeding'), Hashtag(Text='farmandcountry'), Hashtag(Text='aginstagram')]","43.327,-122.917,10mi"
5,2019-11-02 02:38:02,Starting to collect up some white oak thats been laying in some pastures around the shop.  A couple have been down… https://t.co/igAzlnHKu2,"{'type': 'Point', 'coordinates': [43.272456, -123.06781769]}",[],"43.327,-122.917,10mi"
6,2019-11-01 15:04:00,The haul from yesterday's tree.  Not sure how the butt will come out with the windshake but the rest of it will be… https://t.co/aRRFYae9ZK,"{'type': 'Point', 'coordinates': [43.3191, -123.067]}",[],"43.327,-122.917,10mi"
7,2019-11-01 03:10:31,This fir has been dead standing for a couple years.  It leaned over a hay field so we needed dry weather to clean i… https://t.co/8Jr3NyiHlf,"{'type': 'Point', 'coordinates': [43.272456, -123.06781769]}",[],"43.327,-122.917,10mi"
8,2019-10-31 12:57:42,"Starting to add an inventory of incense cedar 1""x12"". Some the smaller logs I can get a couple mantle pieces and a… https://t.co/Qx51278cqT","{'type': 'Point', 'coordinates': [43.272456, -123.06781769]}",[],"43.327,-122.917,10mi"
9,2019-10-31 02:42:08,One of the three big logs I milled yesterday.  Sold the whole thing today to a repeat customer.  Wish I had a coupl… https://t.co/CRsR1MPWAp,"{'type': 'Point', 'coordinates': [43.272456, -123.06781769]}",[],"43.327,-122.917,10mi"
0,2019-11-03 21:20:30,Have I told y’all how much i love my new color line?! Got to take some freshen up some highlights on this beauty to… https://t.co/E2WhD0L8UQ,"{'type': 'Point', 'coordinates': [38.0652349, -94.6936001]}",[],"37.994,-94.729,10mi"
0,2019-11-04 03:27:06,Rode 40 miles today along the beautiful back roads of McDonald County with Chris Scripsick today.  We climbed nearl… https://t.co/h59giz0qog,"{'type': 'Point', 'coordinates': [36.5883, -94.3825]}",[],"36.614,-94.55,10mi"
1,2019-11-03 22:55:23,"We're hiring! Click to apply: MERCHANDISING SERVICE ASSOCIATE - https://t.co/RZhDYQeSXT #Retail #Grove, OK","{'type': 'Point', 'coordinates': [36.5743123, -94.7661651]}","[Hashtag(Text='Retail'), Hashtag(Text='Grove')]","36.614,-94.55,10mi"
